TimeStamp: 00:00:01 	 Temp: 43.5 *F 	 Humidity: 83.9%
TimeStamp: 00:00:21 	 Temp: 43.5 *F 	 Humidity: 84.1%
TimeStamp: 00:00:32 	 Temp: 43.5 *F 	 Humidity: 84.2%
TimeStamp: 00:00:42 	 Temp: 43.3 *F 	 Humidity: 84.2%
TimeStamp: 00:00:52 	 Temp: 43.3 *F 	 Humidity: 84.2%
TimeStamp: 00:01:02 	 Temp: 43.3 *F 	 Humidity: 84.3%
TimeStamp: 00:01:13 	 Temp: 43.3 *F 	 Humidity: 84.2%
TimeStamp: 00:01:33 	 Temp: 43.5 *F 	 Humidity: 84.3%
TimeStamp: 00:01:43 	 Temp: 43.3 *F 	 Humidity: 84.1%
TimeStamp: 00:01:54 	 Temp: 43.3 *F 	 Humidity: 84.1%
TimeStamp: 00:02:04 	 Temp: 43.3 *F 	 Humidity: 84.1%
TimeStamp: 00:02:24 	 Temp: 43.3 *F 	 Humidity: 84.1%
TimeStamp: 00:02:35 	 Temp: 43.3 *F 	 Humidity: 84.0%
TimeStamp: 00:02:55 	 Temp: 43.3 *F 	 Humidity: 84.1%
TimeStamp: 00:03:16 	 Temp: 43.3 *F 	 Humidity: 84.4%
TimeStamp: 00:03:36 	 Temp: 43.3 *F 	 Humidity: 84.5%
TimeStamp: 00:03:47 	 Temp: 43.3 *F 	 Humidity: 84.7%
TimeStamp: 00:03:57 	 Temp: 43.3 *F 	 Humidity: 84.8%
TimeStamp: 00:04:07 	 Temp: 43.3 *F 	 Humidity: 84.8%
TimeStamp: 00:04:17 	 Temp: 43.3 *F 	 Humidity: 84.7%
TimeStamp: 00:04:28 	 Temp: 43.3 *F 	 Humidity: 84.7%
TimeStamp: 00:04:38 	 Temp: 43.3 *F 	 Humidity: 84.3%
TimeStamp: 00:04:48 	 Temp: 43.5 *F 	 Humidity: 84.7%
TimeStamp: 00:04:58 	 Temp: 43.3 *F 	 Humidity: 84.8%
TimeStamp: 00:05:19 	 Temp: 43.3 *F 	 Humidity: 84.7%
TimeStamp: 00:05:29 	 Temp: 43.3 *F 	 Humidity: 84.6%
TimeStamp: 00:05:40 	 Temp: 43.3 *F 	 Humidity: 84.9%
TimeStamp: 00:05:50 	 Temp: 43.3 *F 	 Humidity: 85.0%
TimeStamp: 00:06:00 	 Temp: 43.3 *F 	 Humidity: 85.2%
TimeStamp: 00:06:10 	 Temp: 43.3 *F 	 Humidity: 85.1%
TimeStamp: 00:06:21 	 Temp: 43.3 *F 	 Humidity: 85.1%
TimeStamp: 00:06:31 	 Temp: 43.3 *F 	 Humidity: 85.2%
TimeStamp: 00:06:41 	 Temp: 43.3 *F 	 Humidity: 85.4%
TimeStamp: 00:06:51 	 Temp: 43.3 *F 	 Humidity: 85.4%
TimeStamp: 00:07:12 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:07:32 	 Temp: 43.3 *F 	 Humidity: 85.5%
TimeStamp: 00:07:43 	 Temp: 43.3 *F 	 Humidity: 85.5%
TimeStamp: 00:07:53 	 Temp: 43.3 *F 	 Humidity: 85.5%
TimeStamp: 00:08:03 	 Temp: 43.3 *F 	 Humidity: 85.5%
TimeStamp: 00:08:24 	 Temp: 43.5 *F 	 Humidity: 85.3%
TimeStamp: 00:08:34 	 Temp: 43.5 *F 	 Humidity: 85.3%
TimeStamp: 00:08:44 	 Temp: 43.5 *F 	 Humidity: 85.4%
TimeStamp: 00:08:55 	 Temp: 43.5 *F 	 Humidity: 85.4%
TimeStamp: 00:09:05 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:09:15 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:09:25 	 Temp: 43.5 *F 	 Humidity: 85.7%
TimeStamp: 00:09:36 	 Temp: 43.5 *F 	 Humidity: 85.7%
TimeStamp: 00:09:46 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:09:56 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:10:06 	 Temp: 43.5 *F 	 Humidity: 85.7%
TimeStamp: 00:10:17 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:10:27 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:10:37 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:10:47 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:10:58 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:11:18 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:11:29 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:11:39 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:11:49 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:12:10 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:12:20 	 Temp: 43.5 *F 	 Humidity: 86.0%
TimeStamp: 00:12:30 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:12:40 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:12:51 	 Temp: 43.5 *F 	 Humidity: 85.9%
TimeStamp: 00:13:01 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:13:11 	 Temp: 43.5 *F 	 Humidity: 85.7%
TimeStamp: 00:13:32 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:13:42 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:13:52 	 Temp: 43.5 *F 	 Humidity: 85.8%
TimeStamp: 00:14:03 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:14:13 	 Temp: 43.5 *F 	 Humidity: 85.6%
TimeStamp: 00:14:23 	 Temp: 43.5 *F 	 Humidity: 85.5%
TimeStamp: 00:14:33 	 Temp: 43.5 *F 	 Humidity: 85.5%
TimeStamp: 00:14:44 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:14:54 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:15:04 	 Temp: 43.7 *F 	 Humidity: 85.7%
TimeStamp: 00:15:14 	 Temp: 43.7 *F 	 Humidity: 85.6%
TimeStamp: 00:15:25 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:15:35 	 Temp: 43.7 *F 	 Humidity: 85.7%
TimeStamp: 00:15:45 	 Temp: 43.7 *F 	 Humidity: 85.6%
TimeStamp: 00:15:55 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:16:06 	 Temp: 43.7 *F 	 Humidity: 85.6%
TimeStamp: 00:16:16 	 Temp: 43.7 *F 	 Humidity: 85.6%
TimeStamp: 00:16:26 	 Temp: 43.7 *F 	 Humidity: 85.5%
TimeStamp: 00:16:37 	 Temp: 43.7 *F 	 Humidity: 85.6%
TimeStamp: 00:16:47 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:16:57 	 Temp: 43.7 *F 	 Humidity: 85.9%
TimeStamp: 00:17:07 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:17:18 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:17:28 	 Temp: 43.7 *F 	 Humidity: 85.9%
TimeStamp: 00:17:38 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:17:48 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:17:59 	 Temp: 43.7 *F 	 Humidity: 86.1%
TimeStamp: 00:18:09 	 Temp: 43.7 *F 	 Humidity: 85.9%
TimeStamp: 00:18:19 	 Temp: 43.7 *F 	 Humidity: 86.1%
TimeStamp: 00:18:29 	 Temp: 43.7 *F 	 Humidity: 86.1%
TimeStamp: 00:18:40 	 Temp: 43.7 *F 	 Humidity: 86.1%
TimeStamp: 00:18:50 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:19:00 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:19:10 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:19:21 	 Temp: 43.7 *F 	 Humidity: 85.8%
TimeStamp: 00:19:41 	 Temp: 43.7 *F 	 Humidity: 86.0%
TimeStamp: 00:19:52 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:20:02 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:20:12 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:20:22 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:20:33 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:20:43 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:20:53 	 Temp: 43.9 *F 	 Humidity: 86.1%
TimeStamp: 00:21:03 	 Temp: 43.9 *F 	 Humidity: 86.2%
TimeStamp: 00:21:14 	 Temp: 43.9 *F 	 Humidity: 86.1%
TimeStamp: 00:21:24 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:21:34 	 Temp: 43.9 *F 	 Humidity: 86.0%
TimeStamp: 00:21:44 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:21:55 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:22:05 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:22:15 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:22:26 	 Temp: 43.9 *F 	 Humidity: 85.9%
TimeStamp: 00:22:36 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:22:46 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:22:56 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:07 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:17 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:27 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:37 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:48 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:23:58 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:24:08 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:24:18 	 Temp: 43.9 *F 	 Humidity: 85.6%
TimeStamp: 00:24:29 	 Temp: 43.9 *F 	 Humidity: 85.8%
TimeStamp: 00:24:49 	 Temp: 43.9 *F 	 Humidity: 85.7%
