TimeStamp: 14:43:31 	 Temp: 69.6 *F 	 Humidity: 35.0%
TimeStamp: 14:43:41 	 Temp: 69.6 *F 	 Humidity: 35.2%
TimeStamp: 14:43:51 	 Temp: 69.6 *F 	 Humidity: 35.1%
TimeStamp: 14:50:23 	 Temp: 69.8 *F 	 Humidity: 34.8%
TimeStamp: 14:50:33 	 Temp: 70.0 *F 	 Humidity: 33.4%
TimeStamp: 14:51:04 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:51:25 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:51:45 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:52:06 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:52:16 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:52:57 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:53:07 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:53:38 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:53:48 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:53:59 	 Temp: 69.8 *F 	 Humidity: 34.7%
TimeStamp: 14:54:09 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:54:19 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:54:40 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:54:50 	 Temp: 69.8 *F 	 Humidity: 34.6%
TimeStamp: 14:55:00 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:55:11 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:55:21 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:55:31 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:55:41 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:56:02 	 Temp: 69.8 *F 	 Humidity: 34.4%
TimeStamp: 14:56:12 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:56:23 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:56:33 	 Temp: 69.8 *F 	 Humidity: 34.5%
TimeStamp: 14:56:43 	 Temp: 69.8 *F 	 Humidity: 34.5%
