TimeStamp: 00:00:09 	 Temp: 35.2 *F 	 Humidity: 88.2%
TimeStamp: 00:00:19 	 Temp: 35.2 *F 	 Humidity: 88.2%
TimeStamp: 00:00:29 	 Temp: 35.2 *F 	 Humidity: 88.2%
TimeStamp: 00:00:40 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:00:50 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:01:00 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:01:10 	 Temp: 35.2 *F 	 Humidity: 87.8%
TimeStamp: 00:01:21 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:01:31 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:01:41 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:01:52 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:02:02 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:02:12 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:02:22 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:02:33 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:02:43 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:02:53 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:03:03 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:03:14 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:03:24 	 Temp: 35.2 *F 	 Humidity: 88.1%
TimeStamp: 00:03:34 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:03:44 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:03:55 	 Temp: 35.2 *F 	 Humidity: 88.0%
TimeStamp: 00:04:05 	 Temp: 35.2 *F 	 Humidity: 88.0%
