TimeStamp: 00:00:06 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:00:17 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:00:27 	 Temp: 24.3 *F 	 Humidity: 58.0%
TimeStamp: 00:00:37 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:00:47 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:00:58 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:08 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:18 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:28 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:39 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:49 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:01:59 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:02:10 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:02:20 	 Temp: 24.3 *F 	 Humidity: 58.1%
TimeStamp: 00:02:30 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:02:40 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:02:51 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:03:01 	 Temp: 24.3 *F 	 Humidity: 58.2%
TimeStamp: 00:03:11 	 Temp: 24.3 *F 	 Humidity: 58.2%
TimeStamp: 00:03:21 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:03:32 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:03:42 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:03:52 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:04:02 	 Temp: 24.1 *F 	 Humidity: 58.1%
TimeStamp: 00:04:13 	 Temp: 24.1 *F 	 Humidity: 58.2%
TimeStamp: 00:04:23 	 Temp: 24.1 *F 	 Humidity: 58.2%
TimeStamp: 00:04:33 	 Temp: 24.1 *F 	 Humidity: 58.2%
TimeStamp: 00:04:44 	 Temp: 24.1 *F 	 Humidity: 58.2%
TimeStamp: 00:04:54 	 Temp: 24.1 *F 	 Humidity: 58.2%
