TimeStamp: 00:00:07 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:00:17 	 Temp: 31.1 *F 	 Humidity: 81.8%
TimeStamp: 00:00:28 	 Temp: 31.1 *F 	 Humidity: 81.7%
TimeStamp: 00:00:38 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:00:48 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:00:59 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:01:09 	 Temp: 31.1 *F 	 Humidity: 81.7%
TimeStamp: 00:01:19 	 Temp: 31.1 *F 	 Humidity: 81.8%
TimeStamp: 00:01:29 	 Temp: 31.1 *F 	 Humidity: 81.9%
TimeStamp: 00:01:50 	 Temp: 31.1 *F 	 Humidity: 81.9%
TimeStamp: 00:02:00 	 Temp: 31.1 *F 	 Humidity: 82.0%
TimeStamp: 00:02:10 	 Temp: 31.1 *F 	 Humidity: 82.0%
TimeStamp: 00:02:21 	 Temp: 31.1 *F 	 Humidity: 81.9%
TimeStamp: 00:02:31 	 Temp: 31.1 *F 	 Humidity: 81.9%
TimeStamp: 00:02:41 	 Temp: 31.1 *F 	 Humidity: 81.7%
TimeStamp: 00:02:51 	 Temp: 31.1 *F 	 Humidity: 81.7%
TimeStamp: 00:03:12 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:03:22 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:03:33 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:03:43 	 Temp: 31.1 *F 	 Humidity: 81.6%
TimeStamp: 00:03:53 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:04:03 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:04:24 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:04:44 	 Temp: 30.9 *F 	 Humidity: 81.6%
TimeStamp: 00:05:05 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:05:15 	 Temp: 30.9 *F 	 Humidity: 81.5%
TimeStamp: 00:05:25 	 Temp: 30.9 *F 	 Humidity: 81.6%
TimeStamp: 00:05:36 	 Temp: 30.9 *F 	 Humidity: 81.8%
TimeStamp: 00:05:46 	 Temp: 30.9 *F 	 Humidity: 81.8%
TimeStamp: 00:05:56 	 Temp: 30.9 *F 	 Humidity: 81.7%
TimeStamp: 00:06:17 	 Temp: 30.9 *F 	 Humidity: 81.8%
